tweet	label
cdc currently reports deaths general discrepancies death counts different sources small explicable death toll stands roughly people today	real
states reported deaths small rise last tuesday southern states reported deaths	real
politically correct woman almost uses pandemic excuse reuse plastic bag coronavirus nashville	fake
indiafightscorona covid testing laboratories india th august tests done dg staysafe indiawillwin	real
populous states generate large case counts look new cases per million today smaller states showing cases per million california texas al ar id ks ky la ms nv sc	real
covid act found average person illinois covid infecting people data shows infection growth rate declined time factors stayathome order restrictions put place	real
tested positive covid symptoms stay home away people learn cdcs recommendations around others covid infection	real
obama calls trumps coronavirus response chaotic disaster	fake
clearly obama administration leave kind game plan something like	fake
retractionhydroxychloroquine chloroquine without macrolide treatment covid multinational registry analysis lancet	fake
take simple daily precautions help prevent spread respiratory illnesses like covid learn protect coronavirus covid	real
nba poised restart month march reported utah jazz got coronavirus tests matter hours time us testing sluggish	fake
announced first participants age cohort dosed phase study mrna vaccine mrna novel coronavirus read mrna	real
coronavirusupdates indiafightscorona lakh tests done rd successive day cumulative testing date reached covid tests per million tpm cross	real
protect others covid using public transportation practice social distancing avoid touching surfaces practice hand hygiene learn	real
august till total covid positive cases amp covid related deaths manipur covid covid covidindia covidupdates coronaupdates corona coronavirus coronavirusindia coronavirusupdates coronaviruspandemic	real
donald trumps negligence incompetence people died nearly million cases covid million americans work yet hes patting back unbelievable	fake
indiafightscorona india continues scale new peaks covid tests lakh samples tested daily consecutive days country achieved levels high daily testing india	real
announced shipped vials mrna companys vaccine novel coronavirus nih used planned phase study us	real
multiple facebook posts claim aussies fined found talking conspiracies covid posts included screenshot segment australian breakfast television show evidence claim	fake
nobel prize laureate tasuku honjo didnt say coronavirus natural post facebook claims fact professor honjo said hes greatly saddened name used spread misinformation latest coronacheck	fake
nz covid tracker app remain important useful alert level people encouraged download app similar one keep record youre going	real
breaking news president cryill ramaphosa asked foreign nations depart south africa june due increasing cases covid	fake
delighted high uppermiddle countries economies confirmed participate covax facility number growing urge yet joined th september covid	real
intriguing possibility mood changes anxiety may function invasion coronavirus cns brain	real
elon musck new baby get job kid christmas covid elonmusk achristmascarol	fake
new alcoholfree sanitizer developed dedan kimathi university kenya	fake
appendix b gathering state orders testing huge chunk work goes appendix evaluation accessibility cdcs data tracker	real
yesterday laboratories completed tests testing people managed isolation quarantine routine testing either days stay brings total number tests completed date	real
reusing n masks nih found vaporized hydrogen peroxide uv light heat effective sanitizers coronavirus	real
shifted focus different moments coronavirusoutbreak updated running timeline response virus reply us recent trump moments think belong running list	fake
doctored image president donald trump shared claiming asked people chant hare krishna hare rama	fake
fourthofjuly weekend choose spend time outdoors event gathering stay ft apart amp wear cloth face cover slow spread covid learn	real
cdc recommends mothers stop breastfeeding boost vaccine efficacy	fake
singapore airlines haults flights due coronavirus outbreak	fake
florida governor ron desantis botches covid response banning corona beer order flatten pandemic curve	fake
apologise government ekiti state error remain committed improving quality control processes ensure accurate transparent reporting cases	real
nyt invented video doctor fighting coronavirus hospital	fake
may break k cases day today south alone reported	real
alert americans coronavirus symptoms asked cough directly onto president trump	fake
launched covid solidarity response fund far mobilized individuals companies amp philanthropies addition mobilized billion member states amp generous support countries	real
football player cristiano ronaldo turned hotels hospitals help coronavirus patients paying doctors staff	fake
including testing asymptomatic workers involved managed isolation quarantine airport border staff part wider surveillance measures expected operational early july	real
dont want national lockdown coronavirus continues progress uk pm says govt take measures insists doesnt want second national lockdown read	real
daily update published states reported k tests k cases deaths	real
indiafightscorona new recoveries india exceeded new cases consecutive days covid	real
top states high active caseload also ones presently reporting high level recoveries	real
currently people managed isolation quarantine current effective capacity gives us excess capacity next week projecting arrivals departures facilities	real
schools struggling cope lack covid tests new infections increasing since became compulsory pupils return get child tested virus heres explainer	real
scientists astrazeneca complain work coronavirus vaccine keeps delayed noddy holder ringing ask ready christmas	fake
masks help prevent spread covid widely used public wear mask help protect around others wear one help protect people around incl wearamask doyourpart worldmaskweek	real
new cases covidnigeria lagos gombe plateau kwara enugu ogun katsina ekiti bauchi osun rivers confirmed discharged deaths	real
already coronavirus heres simple test	fake
india indiafightscorona high number sustained recoveries india surges ahead highest single day recovery nearl	real
italy surrendered coronavirus pandemic measures control covid exhausted	fake
president trump forced wear protective medical mask donaldtrump coronavirus cia fbi iud	fake
coronavirus misinformation moving offline reddit user posted flyer site told us delive	fake
orwell dead living bridge continued government toiletpaper georgeorwell coronavirus	fake
residents york asked think new government rule allows people england may covid fined fail selfisolate read click	real
central government given permission schools reopen	fake
today total approved labs covid testing consist govt amp pvt labs covidtesting covid covid covid covid covidindia covidupdates coronavirus coronaupdates coronavirusindia	real
government come pressure lack availability covid tests read	real
fewer kids dying since lockdown new white paper examines	fake
million cases covid reported almost deaths although countries affected continue see intense transmission relatively small group countries	real
justin trudeau resigns amidst coronavirus pandemic	fake
george soros one people responsible new coronavirus born laboratory	fake
sensitivity test definitely something specialists talking seen real number also havent looked hard weve things	real
experts call claims cow dungurine yoga ayush prevent treat covid	fake
main mode transmission novel coronavirus droplets possible infected smokers may blow droplets carrying virus exhale regardless covid steer clear secondhand smoke may cause various health problems	real
article claiming bill gates vaccine would modify human dna	fake
general dyk handwashing remains one best ways prevent spread viruses like covid things	real
according state health department haryana covid recoveryrate gurugram covid covid covid coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates	real
daily update published sundays mondays tend see numbers dipand see today still k cases rising hospitalizations large jump deaths last sundays holiday numbers day average back	real
total number confirmed cases covid number report world health organization	real
brazailian parliament went hospital take covid patients found empty	fake
multiple posts shared thousands times facebook twitter youtube claim salt effective remedy novel coronavirus	fake
un secretarygeneral antonio guterres says covid pandemic dramatically derailed sustainable development goals put question progress made eradication poverty hunger latest world news	real
instagram post claiming covid tests tainted coronavirus circulation many months	fake
across states report tracked hospitalizations bulk new york louisiana florida also growing numbers hospitalizations	real
philippines senators grace poe risa hontiveros silent coronavirus crisis vocal closure abscbn	fake
indiafightscorona indias total recoveries continue rise cross lakh today states contribute total cases active cases total fatality reported india staysafe indiawillwin	real
important consequence seeing covidas syndemic underline social origins thevulnerability older citizens black asian minorityethnic communities key workers commonlypoorly paid fewer welfare protections	fake
indiafightscorona scales covid testing capacity lakh tests per day country tota	real
video shows italian doctor says nobody died coronavirus italy dangerous flu	fake
seasonal influenza vaccination mandatory georgia fall covid mortality rates significantly lower fatalities caused viruses	fake
say cases mt roskill evangelical fellowship group cases bereavement subcluster includes cases whose source infection bereavement events	real
one new zealand receiving hospitallevel care covid yesterday laboratories completed tests bringing total number tests completed date covid covidnz covid	real
pm th april breakdown cases state lagos fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu rivers niger benue anambra borno jigawa	real
biggest change data number covid patients currently hospitalized addition floridas k hospitalizations seen numbers since first week mayand seem likely decline soon	real
coronavirusupdates covid india tracker september confirmed cases recovered active cases deaths indiafightscorona indiawillwin staysafe via india	real
person coronavirus galicia	fake
india tested lakh samplesday covid enabled commitment set laboratories expanding testing mechanisms details visit icmrfightscovid indiafightscorona india	real
claim jordanian health minister says covid conspiracy video	fake
pregnant women covid higher rate premature births	real
solidarity trials also underway many countries projects complete controlling covid effectively easier due availability proper medicines vaccines etc control various infectious diseases across world	real
covid update new cases covid report new zealand today days since last case covid acquired locally unknown source	real
compare number completed tests reported new mexico state population times smaller californias numbers even close yet	real
cases community auckland based connected existing outbreak close contacts cases already reported new cases household contacts previously reported case still investigation gp mt wellington	real
precautionary message one catch fire due hand sanitizer high amount alcohol message also shows hands lady applying sanitizer went near stove ended burning hands	fake
brings new zealands total number active cases managed isolation quarantine facilities cases community nzs total number confirmed cases covid number report	real
says rudy giuliani bought shares novartis primary supplier hydroxychloroquine early february	fake
student pondicherry university india found home remedy covid accepted world health organization	fake
footballer ronaldo turning hotels covid hospitals	fake
coronavirusupdates india records highest ever single day peak covid recoveries indiafightscorona total recoveries cross lakh recoveries exceed active cases lakh	real
cough fever runny nose symptoms came suddenly theres good chance could flu watch find next fightflu	real
president trump says pandas responsible covid donaldtrump china coronavirus zoo pandas	fake
today active covid cases mumbai district maharastra india covid covid covid coronaupdatesinindia coronavirus coronavirusupdates coronaviruspandemic	real
public health englands weekly coronavirus report shows rise almost rhinovirus infections include common cold last week	real
image suspected coronavirus vaccine causing covid	fake
people likely others become severely ill covid means may require hospitalization intensive care ventilator help breathe severely ill people may die learn	real
camila pitanga brazilian actress contracted covid said caught malaria could take chloroquine without admitting wrong	fake
new coronavirus causes sudden death syndrome	fake
indiafightscorona increasing gap covid recovered amp active cases india may september staysafe indiawillwin	real
coronavirus parties deadly consequences	real
cabinet office minister michael gove says theres going shift emphasis working home new covid restrictions kayburley get latest coronavirus news	real
gross well reporting quite effectively refuse put numbers table dashboard reasons beyond	real
looking numbers like yesterday one state california drove huge increase number seems much solid driven number states reporting large numbers tests completed	real
india lost individuals coronavirus till date view rising coronavirus cases bihar government extends lockdown state till september nationalist congress party chief sharad pawars residence four people tested positive coronavirus	fake
bill gates profits vaccination wants reduce worlds population	fake
indiafightscorona india held virtual meeting today states amp uts ensure adequate oxygen availability healthcare facilities amp unrestricted intra well inter state movement oxygen read details staysafe indiawillwin	real
hcps attend next coca call tuesday aug pm et via zoom topic covid amp telehealth implementation stories field learn covid	real
healthy yearold boy lost life covid days	real
important part work data collection analysis pm every day data team collates results received testing laboratories inform nigerians number new covid cases results received time reported next day	real
finally launched first real version covid racial data tracker partnership major effort projects volunteersand hope useful communities across country	real
acc india incubation period covid time exposure novel coronavirus becoming infected symptom onset days median estimates days long days coronavirus covid covid	real
nasal flu vaccine side effects cause covid	fake
todays cases bring combined total confirmed probable covid cases people reported recovered today two people hospital one middlemore north shore hospitals neither icu	real
new publication covid pandemic could cause hiv treatment interruptions allow increase new infections programs plan avoid risks save lives full report authors jennifersmith timothyhallett	real
transparency leaders vital crisis must access data make informed decisions behavior changes az residents access data model projections	real
one nz receiving hospital level care covid yesterday laboratories completed tests bringing total number tests completed minister advised amp reassured numbers continue increase coming days	real
rapid response team working nfeltp strengthen community testing covid lgas team provides support newly reactivated lga walkin testing sites increased testing capacity access awareness covid grassroot level	real
new recovered cases reported five states viz maharashtra tamil nadu andhra pradesh karnataka amp uttar pradesh maharashtra alone contributed amp andhra pradesh contributed new recoveries	real
claim india began screening passengers covidaffected countries single case pm modi fact govt mandated universal screening internatl flights march cases detected across indian states	fake
says coronavirus military bioweapon developed chinas army	fake
indore india police doctors injecting coronavirus positive blood muslims	fake
photo vaccine developed us scientists covid	fake
video clip shows doctor couple died treating covid patients	fake
deaths reported bringing total dataset include probable covid deaths reported nyc new york state working separate accounting labconfirmed probable deaths states	real
youth sports organizations resume activities planned player visitor coach gets sick covid cdc offers tips protect health safety staff players visitors involved youth sports tips	real
one politician died virus	fake
indiafightscorona health ministry reviews covid management amp response districts across states exhibiting high caseload fatality	real
covid	fake
leaked report says many humans planet globalwarming coronavirus conspiracy	fake
another current known data problem washington state rocksolid reporting early part outbreak system got gummed seen new update state days	real
india spraying pesticides night prevent covid	fake
home ministry declared posting coronavirus declared punishable offense	fake
refuse socialdistance sign pledge bypass care get ill coronavirus via	real
use bleach solutions disinfecting products food currently cases covid identifie	real
free coronavirus test kits available health coronavirus	fake
dispels doubts raised failure one vaccine clinical trials says trials continuing expert committee reappraisal significant mutation sarscov india icmr actively exploring salivabased test covid india	real
thirtynine gps specialists written bmj calling action long covid	real
scientists expressing cautious optimism covid vaccine ready go late spring although unclear much longer would take distribute vaccine widely	fake
want context hospitalization data situation check weekly roundup tackled transitional period producing erratic artificially deflated hospitalization data	real
coronavirusupdates covid testing status update stated samples tested upto september sample tested september staysafe indiawillwin	real
video shows first infected patient covid dhanbad hospital	fake
says daniel radcliffe coronavirus	fake
today total active covid cases india samples tested today till pm covid lakshadweep reported single case till date amp arunachalpradesh amp mizoram reported covid case last hrs	real
trump coronavirus may end november rd dranthonyfauci smallpox	fake
coronavirus scientists believe coronavirus affects body	fake
former rep trey gowdy wrote essay past social media claiming covid pandemic planned help democrats election	fake
health equity everyone opportunity healthy possible must address longstanding inequities put racial ethnic groups higher risk covid learn cdcs covid healthequity strategy	real
